dataset,record_id,label,tfidf_prediction,biobert_prediction,tfidf_prob_0,tfidf_prob_1,tfidf_confidence,biobert_prob_0,biobert_prob_1,biobert_confidence,text,model_text
healthfact,26678,1,0,1,0.7165312947112694,0.2834687052887306,0.7165312947112694,0.0051235883,0.99487644,0.99487644,"Viral image Says 80% of novel coronavirus cases are ""mild.","Viral image Says 80% of novel coronavirus cases are ""mild."
healthfact,29144,0,1,0,0.4782138987948234,0.5217861012051765,0.5217861012051765,0.5306983,0.46930176,0.5306983,Queen Elizabeth II wore a Burmese Ruby Tiara as a slight against U.S. President Donald Trump.,Queen Elizabeth II wore a Burmese Ruby Tiara as a slight against U.S. President Donald Trump.
healthfact,9960,0,1,0,0.3893358843162802,0.6106641156837198,0.6106641156837198,0.69255495,0.30744505,0.69255495,Scientists look to stem cells to mend broken hearts,Scientists look to stem cells to mend broken hearts
healthfact,11523,0,1,0,0.2838200359974725,0.7161799640025275,0.7161799640025275,0.5103041,0.48969588,0.5103041,Study suggests a second LDL test,Study suggests a second LDL test
healthfact,10970,1,0,1,0.5073552167871385,0.4926447832128616,0.5073552167871385,0.1179385,0.88206154,0.88206154,"To reverse damage of sitting, take a brisk, hour-long walk","To reverse damage of sitting, take a brisk, hour-long walk"
healthfact,22800,1,0,1,0.5006906919626652,0.4993093080373347,0.5006906919626652,0.2788092,0.72119087,0.72119087,The city of Atlanta has $56 million in its reserves.,The city of Atlanta has $56 million in its reserves.
healthfact,5571,1,0,1,0.7421097581303584,0.2578902418696416,0.7421097581303584,0.008737645,0.9912623,0.9912623,CVI: The impairment affecting children whose eyes are fine.,CVI: The impairment affecting children whose eyes are fine.
healthfact,28092,1,0,1,0.7328321979921655,0.2671678020078344,0.7328321979921655,0.41786763,0.5821323,0.5821323,Immigration authorities are taking rosaries away from immigrants at the border.,Immigration authorities are taking rosaries away from immigrants at the border.
healthfact,33919,0,1,0,0.4998792716024113,0.5001207283975887,0.5001207283975887,0.60949284,0.39050722,0.60949284,A list compiles Andy Rooney's wry observations on a variety of topics.,A list compiles Andy Rooney's wry observations on a variety of topics.
healthfact,33983,0,1,0,0.4499180277098359,0.5500819722901641,0.5500819722901641,0.8224605,0.17753959,0.8224605,NASA and NOAA faked climate data in the GISTEMP global temperature record to exaggerate global warming.,NASA and NOAA faked climate data in the GISTEMP global temperature record to exaggerate global warming.
healthfact,20583,1,0,1,0.7547750019659134,0.2452249980340865,0.7547750019659134,0.070668966,0.929331,0.929331,On mandatory ultrasounds before abortions.,On mandatory ultrasounds before abortions.
healthfact,15867,0,1,0,0.2100482259659825,0.7899517740340175,0.7899517740340175,0.5582724,0.44172758,0.5582724,"Drug Policy Alliance Says Debbie Wasserman Schultz ""voted repeatedly to send terminally ill patients to prison.","Drug Policy Alliance Says Debbie Wasserman Schultz ""voted repeatedly to send terminally ill patients to prison."
healthfact,2654,1,0,1,0.56293028159577,0.4370697184042301,0.56293028159577,0.0010400916,0.9989599,0.9989599,French breast implant boss arrested.,French breast implant boss arrested.
healthfact,11399,0,1,0,0.4596482050445337,0.5403517949554663,0.5403517949554663,0.68892354,0.31107646,0.68892354,Blood Test May Predict Rheumatoid Arthritis,Blood Test May Predict Rheumatoid Arthritis
healthfact,37894,1,0,1,0.7584940270184048,0.2415059729815951,0.7584940270184048,0.4679755,0.53202444,0.53202444,"Dr. Deborah Birx said at a press conference concerning testing for COVID-19 that ""At $50 a test, it wasn’t enough to hire another technician to run the machine full-time. So at $100 a test, it is.","Dr. Deborah Birx said at a press conference concerning testing for COVID-19 that ""At $50 a test, it wasn’t enough to hire another technician to run the machine full-time. So at $100 a test, it is."
healthfact,33361,0,1,0,0.3459576138083632,0.6540423861916368,0.6540423861916368,0.8830576,0.11694245,0.8830576,"HIV-positive basketball star Earvin ""Magic"" Johnson donated blood to patients with leukemia.","HIV-positive basketball star Earvin ""Magic"" Johnson donated blood to patients with leukemia."
healthfact,27351,1,0,1,0.8936923761728217,0.1063076238271783,0.8936923761728217,0.45469254,0.54530746,0.54530746,"In February and March 2018, hundreds of Canadian doctors signed a petition asking for the cancellation of pay deals from which they would personally benefit.","In February and March 2018, hundreds of Canadian doctors signed a petition asking for the cancellation of pay deals from which they would personally benefit."
healthfact,29946,0,1,0,0.4947963253826448,0.5052036746173552,0.5052036746173552,0.58303523,0.4169648,0.58303523,U.S. Representatives Rashid Tlaib and Ilhan Omar co-sponsored legislation to recognize Muslim holidays as federal holidays.,U.S. Representatives Rashid Tlaib and Ilhan Omar co-sponsored legislation to recognize Muslim holidays as federal holidays.
healthfact,25743,0,1,0,0.2716343031872837,0.7283656968127162,0.7283656968127162,0.56154776,0.43845227,0.56154776,The coronavirus has seen a “big surge in New Zealand. It's terrible. We don't want that.,The coronavirus has seen a “big surge in New Zealand. It's terrible. We don't want that.
healthfact,27236,1,0,1,0.8173441381752251,0.1826558618247748,0.8173441381752251,0.47970325,0.52029675,0.52029675,"A photograph shows the Arch of Baal erected on the National Mall in Washington, D.C.","A photograph shows the Arch of Baal erected on the National Mall in Washington, D.C."
healthfact,29548,0,1,0,0.1529682349321275,0.8470317650678725,0.8470317650678725,0.7333217,0.26667824,0.7333217,"Students at Emory University were offered ""emergency counseling"" after pro-Trump graffiti appeared overnight in campus ""safe spaces.","Students at Emory University were offered ""emergency counseling"" after pro-Trump graffiti appeared overnight in campus ""safe spaces."
healthfact,31986,0,1,0,0.4762177625066633,0.5237822374933366,0.5237822374933366,0.9265775,0.07342249,0.9265775,"The term ""Black Friday"" originated with the practice of selling off slaves on the day after Thanksgiving.","The term ""Black Friday"" originated with the practice of selling off slaves on the day after Thanksgiving."
