dataset,record_id,label,tfidf_prediction,biobert_prediction,tfidf_prob_0,tfidf_prob_1,tfidf_confidence,biobert_prob_0,biobert_prob_1,biobert_confidence,text,model_text
healthfact,33456,0,0,0,0.8667504870282289,0.1332495129717711,0.8667504870282289,0.69387805,0.30612198,0.69387805,A mother revealed to her child in a letter after her death that she had just one eye because she had donated the other to him.,A mother revealed to her child in a letter after her death that she had just one eye because she had donated the other to him.
healthfact,2542,1,1,1,0.1431668288163258,0.8568331711836742,0.8568331711836742,0.0072705317,0.9927295,0.9927295,Study says too many Americans still drink too much.,Study says too many Americans still drink too much.
healthfact,40705,0,0,0,0.7333068637404077,0.2666931362595924,0.7333068637404077,0.56674665,0.43325335,0.56674665,"An email says that 9-year old Craig Shergold of Carshalton, Great Britain is dying of Cancer. As a dying wish, he wants to get into the Guinness Book of World Records by collecting the most greeting cards of anybody in history. The email asks that the cards be sent to an address of the Make-A-Wish Foundation.","An email says that 9-year old Craig Shergold of Carshalton, Great Britain is dying of Cancer. As a dying wish, he wants to get into the Guinness Book of World Records by collecting the most greeting cards of anybody in history. The email asks that the cards be sent to an address of the Make-A-Wish Foundation."
healthfact,2829,1,1,1,0.1518615560010864,0.8481384439989136,0.8481384439989136,0.0011964564,0.9988035,0.9988035,Roche's schizophrenia drug misses goal in two late-stage trials.,Roche's schizophrenia drug misses goal in two late-stage trials.
healthfact,3955,1,1,1,0.4908615568917991,0.5091384431082009,0.5091384431082009,0.0010642305,0.99893576,0.99893576,Doctors end protest to demand flu vaccines for migrants.,Doctors end protest to demand flu vaccines for migrants.
healthfact,10349,1,1,1,0.4011468157032217,0.5988531842967783,0.5988531842967783,0.16900678,0.83099324,0.83099324,New Chemo Drug May Benefit Some Breast Cancer Patients,New Chemo Drug May Benefit Some Breast Cancer Patients
healthfact,364,1,1,1,0.0365343024826334,0.9634656975173664,0.9634656975173664,0.0023593307,0.9976407,0.9976407,Jury finding upends Bayer's Roundup defense strategy: experts.,Jury finding upends Bayer's Roundup defense strategy: experts.
healthfact,32840,0,0,0,0.8768530227213337,0.1231469772786663,0.8768530227213337,0.66451234,0.33548775,0.66451234,The media covered up an incident in San Bernardino during which several Muslim men fired upon a number of Californian hikers.,The media covered up an incident in San Bernardino during which several Muslim men fired upon a number of Californian hikers.
healthfact,33851,0,0,0,0.6573381875840405,0.3426618124159595,0.6573381875840405,0.8960518,0.10394819,0.8960518,The mayonnaise oozing from a chicken sandwich turned out to be pus from a tumor in the chicken.,The mayonnaise oozing from a chicken sandwich turned out to be pus from a tumor in the chicken.
healthfact,5797,1,1,1,0.120959048402998,0.8790409515970019,0.8790409515970019,0.00185512,0.99814487,0.99814487,"Lawmakers consider spending, saving $128.5 million surplus.","Lawmakers consider spending, saving $128.5 million surplus."
healthfact,29964,0,0,0,0.6090778473098042,0.3909221526901958,0.6090778473098042,0.9194581,0.080541864,0.9194581,"A film producer claimed actor Kevin Spacey had ""drugged and raped"" Justin Bieber.","A film producer claimed actor Kevin Spacey had ""drugged and raped"" Justin Bieber."
healthfact,4019,1,1,1,0.2001408107591312,0.7998591892408687,0.7998591892408687,0.0043179546,0.995682,0.995682,Public warned of possible measles exposure in Pennsylvania.,Public warned of possible measles exposure in Pennsylvania.
healthfact,26248,0,0,0,0.6664388912711734,0.3335611087288265,0.6664388912711734,0.9451122,0.054887813,0.9451122,"“While California is dying … Gavin (Newsom) is vacationing in Stevensville, MT!”","“While California is dying … Gavin (Newsom) is vacationing in Stevensville, MT!”"
healthfact,1356,1,1,1,0.0478716603183658,0.952128339681634,0.952128339681634,0.0020051377,0.9979949,0.9979949,Britain backs GSK's gene therapy for 'bubble boy' syndrome.,Britain backs GSK's gene therapy for 'bubble boy' syndrome.
healthfact,933,1,1,1,0.0525108538782685,0.9474891461217314,0.9474891461217314,0.0021399802,0.99786,0.99786,South Korea court strikes down abortion law in landmark ruling.,South Korea court strikes down abortion law in landmark ruling.
healthfact,4078,1,1,1,0.099636530969052,0.900363469030948,0.900363469030948,0.0010962042,0.99890375,0.99890375,Houston reports 3 teens treated for vape-related lung issues.,Houston reports 3 teens treated for vape-related lung issues.
healthfact,2014,1,1,1,0.0878638149481046,0.9121361850518952,0.9121361850518952,0.0009837544,0.9990163,0.9990163,Scientists debate cause of dolphin deaths.,Scientists debate cause of dolphin deaths.
healthfact,17064,0,0,0,0.682219663260266,0.317780336739734,0.682219663260266,0.73000085,0.26999912,0.73000085,A lot of the problems with forest fires ... is because of bad policy (not to clear out the forests) that was put in place by environmentalists.,A lot of the problems with forest fires ... is because of bad policy (not to clear out the forests) that was put in place by environmentalists.
healthfact,37855,0,0,0,0.7918406421005781,0.2081593578994218,0.7918406421005781,0.5411117,0.45888832,0.5411117,"United States President Donald Trump tweeted """"it is unbelievable that President Obama criticized me for the coronavirus response"" and ""he had 8 years to 'prepair' the next president for a pandemic and he failed.","United States President Donald Trump tweeted """"it is unbelievable that President Obama criticized me for the coronavirus response"" and ""he had 8 years to 'prepair' the next president for a pandemic and he failed."
healthfact,2102,1,1,1,0.0730732446526203,0.9269267553473796,0.9269267553473796,0.0012510808,0.9987489,0.9987489,Evacuation plan 'out the window' when fire hit California town.,Evacuation plan 'out the window' when fire hit California town.
healthfact,10690,0,0,0,0.5167695630635105,0.4832304369364895,0.5167695630635105,0.6978737,0.3021263,0.6978737,"Treating First Time Shoulder Dislocations with Surgery Can Benefit Young Athletes, Study Shows","Treating First Time Shoulder Dislocations with Surgery Can Benefit Young Athletes, Study Shows"
healthfact,9472,1,1,1,0.2764782002256243,0.7235217997743757,0.7235217997743757,0.006483774,0.9935162,0.9935162,"Novartis hopeful for novel heart drug, despite 'modest' benefit","Novartis hopeful for novel heart drug, despite 'modest' benefit"
healthfact,1050,1,1,1,0.143878878995592,0.856121121004408,0.856121121004408,0.0018702523,0.9981298,0.9981298,"Gabon president fires VP, forests minister over hardwood scandal.","Gabon president fires VP, forests minister over hardwood scandal."
healthfact,1301,1,1,1,0.1670973815506425,0.8329026184493574,0.8329026184493574,0.00081858586,0.99918145,0.99918145,Prince Harry joins Elton John to launch HIV campaign targeting men.,Prince Harry joins Elton John to launch HIV campaign targeting men.
healthfact,760,1,1,1,0.409513675926665,0.590486324073335,0.590486324073335,0.016390849,0.9836091,0.9836091,"Suicide kills one person every 40 seconds, says WHO.","Suicide kills one person every 40 seconds, says WHO."
healthfact,32419,0,0,0,0.6043413804296881,0.3956586195703119,0.6043413804296881,0.66163343,0.3383666,0.66163343,Photographs show a boy having his arm crushed under a truck as a punishment for stealing bread.,Photographs show a boy having his arm crushed under a truck as a punishment for stealing bread.
healthfact,8688,1,1,1,0.2045720475439995,0.7954279524560005,0.7954279524560005,0.0012557984,0.99874413,0.99874413,"Hospitals plan for 'COVID cabanas,' conference rooms to house patients.","Hospitals plan for 'COVID cabanas,' conference rooms to house patients."
healthfact,10843,1,1,1,0.3033520878694641,0.6966479121305359,0.6966479121305359,0.06416772,0.9358323,0.9358323,Castration Drug Used as Autism Therapy,Castration Drug Used as Autism Therapy
healthfact,40004,0,0,0,0.6294869322308101,0.3705130677691899,0.6294869322308101,0.6061367,0.3938633,0.6061367,"A forwarded email that blames President Obama for delays in the rescue of Richard Phillips, the captain of the ship named the Maersk Alabama, which was taken over by pirates off the coast of the African country of Somalia. It claims that Obama delayed the deployment of Navy Seals by 36 hours and limited the rules of engagement so the rescuers could not act unless Captain Phillips’ life was imminent danger.","A forwarded email that blames President Obama for delays in the rescue of Richard Phillips, the captain of the ship named the Maersk Alabama, which was taken over by pirates off the coast of the African country of Somalia. It claims that Obama delayed the deployment of Navy Seals by 36 hours and limited the rules of engagement so the rescuers could not act unless Captain Phillips’ life was imminent danger."
