dataset,record_id,label,tfidf_prediction,biobert_prediction,tfidf_prob_0,tfidf_prob_1,tfidf_confidence,biobert_prob_0,biobert_prob_1,biobert_confidence,text,model_text
healthfact,10667,0,1,1,0.4361461211837905,0.5638538788162095,0.5638538788162095,0.4105976,0.5894024,0.5894024,Artificial Pancreas Continues to Show Promise,Artificial Pancreas Continues to Show Promise
healthfact,13528,1,0,0,0.6359083909061931,0.3640916090938069,0.6359083909061931,0.5763237,0.4236763,0.5763237,"Heroin comes in the United States ""from the southern border.","Heroin comes in the United States ""from the southern border."
healthfact,8959,0,1,1,0.4973503091305989,0.502649690869401,0.502649690869401,0.0701977,0.92980224,0.92980224,"Too many people missing out on health benefits of golf, says expert panel","Too many people missing out on health benefits of golf, says expert panel"
healthfact,16366,1,0,0,0.7807300682546832,0.2192699317453167,0.7807300682546832,0.5500631,0.44993696,0.5500631,"Charlie Crist Says Rick Scott signed ""laws requiring mandatory ultrasounds and restricting access to abortion even in cases of rape or incest.","Charlie Crist Says Rick Scott signed ""laws requiring mandatory ultrasounds and restricting access to abortion even in cases of rape or incest."
healthfact,16390,0,1,1,0.4908311624917508,0.5091688375082492,0.5091688375082492,0.4893108,0.5106892,0.5106892,"Leticia Van de Putte ""voted to give illegal immigrants in this country free health care--not emergency health care but total free health care.","Leticia Van de Putte ""voted to give illegal immigrants in this country free health care--not emergency health care but total free health care."
healthfact,27567,1,0,0,0.7307140040323854,0.2692859959676145,0.7307140040323854,0.6143997,0.38560033,0.6143997,"The FDA has updated its warnings for — and recommended limitations on — prescribing a class of antibiotics called fluoroquinolones, citing potentially irreversible side-effects including tendon damage and rupture.","The FDA has updated its warnings for — and recommended limitations on — prescribing a class of antibiotics called fluoroquinolones, citing potentially irreversible side-effects including tendon damage and rupture."
healthfact,10507,1,0,0,0.5841574094697186,0.4158425905302814,0.5841574094697186,0.64667356,0.35332644,0.64667356,The Healthy Skeptic: Products make testosterone claims,The Healthy Skeptic: Products make testosterone claims
healthfact,9673,0,1,1,0.1969981921407358,0.8030018078592641,0.8030018078592641,0.07378939,0.9262106,0.9262106,'Female Viagra' gets mixed reviews,'Female Viagra' gets mixed reviews
healthfact,16846,1,0,0,0.6591974142359867,0.3408025857640133,0.6591974142359867,0.83204263,0.16795741,0.83204263,"After Massachusetts passed a mandatory health insurance law ""their mortality rate went down...it saved lives.","After Massachusetts passed a mandatory health insurance law ""their mortality rate went down...it saved lives."
healthfact,10748,1,0,0,0.5824728098275985,0.4175271901724015,0.5824728098275985,0.93745804,0.06254192,0.93745804,"Humira Provides Effective, Non-Steroid Alternative for Eye Inflammation","Humira Provides Effective, Non-Steroid Alternative for Eye Inflammation"
