dataset,record_id,label,tfidf_prediction,biobert_prediction,tfidf_prob_0,tfidf_prob_1,tfidf_confidence,biobert_prob_0,biobert_prob_1,biobert_confidence,text,model_text
healthfact,16513,0,0,1,0.8532337755639674,0.1467662244360326,0.8532337755639674,0.08804221,0.9119578,0.9119578,"Obamacare ""cuts seniors’ Medicare.","Obamacare ""cuts seniors’ Medicare."
healthfact,28214,1,1,0,0.3991015821793039,0.6008984178206961,0.6008984178206961,0.8389209,0.16107911,0.8389209,"People can fly with dogs, pot-bellied pigs, turkeys, monkeys, and miniature horses if they claim that their pets are emotional support animals.","People can fly with dogs, pot-bellied pigs, turkeys, monkeys, and miniature horses if they claim that their pets are emotional support animals."
healthfact,9255,1,1,0,0.2407974877980336,0.7592025122019663,0.7592025122019663,0.74111587,0.25888416,0.74111587,FDA Approves Bayer's Kyleena™ (Levonorgestrel-Releasing Intrauterine System) 19.5 mg for Prevention of Pregnancy for up to Five Years,FDA Approves Bayer's Kyleena™ (Levonorgestrel-Releasing Intrauterine System) 19.5 mg for Prevention of Pregnancy for up to Five Years
healthfact,9614,1,1,0,0.2738071391623049,0.7261928608376951,0.7261928608376951,0.61621463,0.38378537,0.61621463,Expert Panel Reaffirms Need for Colon Cancer Screen Beginning at Age 50,Expert Panel Reaffirms Need for Colon Cancer Screen Beginning at Age 50
healthfact,6881,1,1,0,0.3298799354609538,0.6701200645390462,0.6701200645390462,0.9423616,0.05763839,0.9423616,Okposo says he’s healthy after concussion put him in ICU.,Okposo says he’s healthy after concussion put him in ICU.
healthfact,36264,0,0,1,0.8546761479994405,0.1453238520005594,0.8546761479994405,0.4935156,0.5064844,0.5064844,"An image shows reported cases of ""flesh eating bacteria"" in 2019.","An image shows reported cases of ""flesh eating bacteria"" in 2019."
healthfact,35389,1,1,0,0.2302951999892989,0.7697048000107011,0.7697048000107011,0.50909925,0.49090078,0.50909925,Some grocery store receipts contain chemicals linked to infertility and hormone-related cancers.,Some grocery store receipts contain chemicals linked to infertility and hormone-related cancers.
healthfact,13872,1,1,0,0.258910036140863,0.741089963859137,0.741089963859137,0.58209604,0.4179039,0.58209604,"Illegal tobacco sales, price driven too high, has been connected to at least several cases of funding terrorism against us in multi-year investigations over the last decade and a half.","Illegal tobacco sales, price driven too high, has been connected to at least several cases of funding terrorism against us in multi-year investigations over the last decade and a half."
healthfact,37950,1,1,0,0.445894508125417,0.554105491874583,0.554105491874583,0.660838,0.339162,0.660838,"On September 18 2020, Twitter user @JohnCammo tweeted that President Trump's ""October Surprise"" would involve a positive test result.","On September 18 2020, Twitter user @JohnCammo tweeted that President Trump's ""October Surprise"" would involve a positive test result."
healthfact,9395,0,0,1,0.5968186737665186,0.4031813262334814,0.5968186737665186,0.40571856,0.59428144,0.59428144,"Menopause 'hot flash' medicine could cut symptom by three quarters, trial shows","Menopause 'hot flash' medicine could cut symptom by three quarters, trial shows"
