dataset,record_id,label,tfidf_prediction,biobert_prediction,pubmed_prediction,biobert_prob_1,pubmed_prob_1,text
healthfact,13528,1,0,0,1,0.4236763,0.9456563,"Heroin comes in the United States ""from the southern border."
healthfact,16390,0,1,1,0,0.5106892,0.0014940532,"Leticia Van de Putte ""voted to give illegal immigrants in this country free health care--not emergency health care but total free health care."
healthfact,27567,1,0,0,1,0.38560033,0.99463826,"The FDA has updated its warnings for — and recommended limitations on — prescribing a class of antibiotics called fluoroquinolones, citing potentially irreversible side-effects including tendon damage and rupture."
healthfact,10507,1,0,0,1,0.35332644,0.9996119,The Healthy Skeptic: Products make testosterone claims
healthfact,15271,0,1,1,0,0.95762473,0.00069459964,"Dick Black Says Jill McCabe ""supports late term abortions. Larger baby parts are more profitable."
healthfact,35961,1,0,0,1,0.45933533,0.75744236,"Donald Trump Jr. tweeted, ""Do you know what's deplorable? Being impeached!"" to the Clintons in September 2016."
healthfact,38247,1,0,0,1,0.3355627,0.93430305,A letter by Dr. Keith Albow said President Trump is “stone cold sane” and that “there’s a genius in the Oval Office” in response to critics who have questioned the president’s mental fitness.
healthfact,41044,1,0,0,1,0.45229304,0.5148119,"If you have a runny nose and sputum, you have a common cold, not Covid-19."
healthfact,11043,0,1,1,0,0.5125699,0.017604243,Statin Drugs May Cut Risk of Kidney Trouble After Surgery
healthfact,12744,1,0,0,1,0.4123463,0.99082196,"There’s not one public study, and by public study I mean a study available to the public, that has looked at using the product Kaput to poison feral hogs."
healthfact,16913,1,0,0,1,0.46090528,0.79077244,"In Iran in 1979, the extremists hijacked the broad-based popular revolution against the Shah and established a brutal theocracy."
healthfact,39745,1,0,0,1,0.24952598,0.9913995,A photo shows a weasel riding on the back of a woodpecker in flight.
healthfact,25950,0,1,1,0,0.64165026,0.0029206448,New study: The flu vaccine is 'significantly associated' with an increased risk of coronavirus
healthfact,29579,0,1,1,0,0.5801295,0.0143507365,Individuals with a high net worth are ineligible to serve in the military because they are more likely to be insubordinate.
healthfact,12194,0,1,1,0,0.6546486,0.0006175952,"House Bill 330 ""grants immunity from liability to motorists who strike protesters."
healthfact,10483,0,1,1,0,0.70652956,0.06580649,Viscosupplementation Recommended For Appropriate Patients with Knee Osteoarthritis
healthfact,26560,1,0,0,1,0.3323427,0.7848595,"“On February 7, the WHO warned about the limited stock of PPE. That same day, the Trump administration announced it was sending 18 tons of masks, gowns and respirators to China.”"
healthfact,35373,1,0,0,1,0.41492027,0.9716878,A photograph shows Dr. Anthony Fauci at a baseball game with his mask lowered below his mouth.
healthfact,27491,1,0,0,1,0.45253083,0.78851664,Cleveland Browns running back Isaiah Crowell once posted to his Instagram profile an artist's rendering of a hooded man cutting the throat of a police officer.
healthfact,22291,0,1,1,0,0.6305635,0.0008518244,"Abortion services are ""well over 90 percent of what Planned Parenthood does."
healthfact,34865,0,1,1,0,0.62426573,0.13648109,"In 2019, a U.S. District Court judge ruled that girls in an Illinois school district ""must shower with boys"" and had no right to privacy."
healthfact,9773,1,0,0,1,0.22828211,0.73937166,"Heart Association's Stroke Guidelines Support Clot-Removing Device If clot-busting drugs don't work, device can be used to pull the blockage out through the artery"
healthfact,10849,0,1,1,0,0.71321714,0.052214526,"Mammograms Cut Risk of Breast Cancer Death by Half, Study Finds"
healthfact,9702,1,0,0,1,0.48859477,0.9984126,"Women with Stage 4 breast cancer survive longer if they have surgery, study shows"
