dataset,record_id,label,tfidf_prediction,biobert_prediction,pubmed_prediction,biobert_prob_1,pubmed_prob_1,text
healthfact,16513,0,0,1,1,0.9119578,0.8006445,"Obamacare ""cuts seniors’ Medicare."
healthfact,28214,1,1,0,0,0.16107911,0.000744342,"People can fly with dogs, pot-bellied pigs, turkeys, monkeys, and miniature horses if they claim that their pets are emotional support animals."
healthfact,35389,1,1,0,0,0.49090078,0.0015731588,Some grocery store receipts contain chemicals linked to infertility and hormone-related cancers.
healthfact,13872,1,1,0,0,0.4179039,0.0006796042,"Illegal tobacco sales, price driven too high, has been connected to at least several cases of funding terrorism against us in multi-year investigations over the last decade and a half."
healthfact,14822,0,0,1,1,0.56293786,0.9887157,"Donald Trump Says 25 percent of U.S. Muslims ""agreed that violence against Americans here in the United States is justified as a part of the global jihad."
healthfact,35313,1,1,0,0,0.35513154,0.0017050883,A video shows the fluff of poplar trees burning across a field in Spain.
healthfact,9364,1,1,0,0,0.17488956,0.0007920612,This Blood Test Could Help Predict If A Pregnancy Is At Risk For Premature Labor
healthfact,27274,1,1,0,0,0.27479458,0.0023959556,Arizona State Senate candidate Bobby Wilson fatally shot his mother in 1963.
healthfact,18217,1,1,0,0,0.4944197,0.32699332,"As a student at Occidental College in Los Angeles from 1979 to 1981, ""there were days where folks couldn't go outside. … because of all the pollution in the air."
healthfact,16302,0,0,1,1,0.62116724,0.9736225,"In 2013,"" Dan Patrick voted ""against funding to test the backlog of rape kits, allowing rapists to walk free."
healthfact,27050,1,1,0,0,0.039468527,0.00070337986,Blue-green algae (known scientifically as cyanobacteria) are capable of poisoning dogs and other pets.
healthfact,33801,0,0,1,1,0.59491277,0.97296983,Statistics demonstrate that crime rates in Australia have increased substantially since the government there instituted a gun buy-back program in 1997.
healthfact,24603,0,0,1,1,0.53526837,0.9186185,"During the 2005 fight over Social Security, ""there were noisy demonstrations — but they were outside the events,"" and opponents were ""not disruptive — crowds booed lines they didn’t like, but that was about it."
